From	To
Q9NRP7	ENSG00000163482.12
P38571	ENSG00000107798.18
Q9UN37	ENSG00000132612.17
Q6P4H8	ENSG00000150756.14
P35504	ENSG00000288705.1
Q16082	ENSG00000170276.6
Q9H2U2	ENSG00000138777.20
Q86UB9	ENSG00000166575.17
Q9Y5A9	ENSG00000198492.16
P62917	ENSG00000161016.18
Q9UQ26	ENSG00000176406.25
Q5H8A3	ENSG00000204640.1
Q9NSA3	ENSG00000178585.15
O00534	ENSG00000110002.16
O75553	ENSG00000173406.16
P05814	ENSG00000135222.7
Q9BSR8	ENSG00000119820.11
P31645	ENSG00000108576.10
P28358	ENSG00000128710.6
Q9NRH2	ENSG00000163788.14
Q5JTZ9	ENSG00000124608.5
Q8WUU5	ENSG00000157259.8
P51610	ENSG00000172534.14
Q92805	ENSG00000136935.14
P47972	ENSG00000106236.4
Q9BWE0	ENSG00000214022.12
Q09327	ENSG00000128268.12
A0JD37	ENSG00000256590.2
O15393	ENSG00000184012.14
P78527	ENSG00000253729.9
Q7Z2X4	ENSG00000153823.19
P42857	ENSG00000168824.15
Q6P587	ENSG00000180185.13
P48047	ENSG00000241837.7
P60328	ENSG00000205439.10
P19634	ENSG00000090020.11
Q9UGI9	ENSG00000115592.13
Q9UMX6	ENSG00000112599.9
Q13422	ENSG00000185811.21
O75716	ENSG00000115661.14
Q3KRB8	ENSG00000285077.4
Q3KRB8	ENSG00000274734.1
Q3KRB8	ENSG00000286139.2
Q7Z736	ENSG00000068137.15
P00156	ENSG00000198727.2
P07766	ENSG00000198851.10
Q96DN6	ENSG00000166987.15
O15127	ENSG00000140497.16
Q8NH74	ENSG00000276451.2
Q8NH74	ENSG00000280899.3
Q8NH74	ENSG00000279000.4
P35354	ENSG00000073756.13
Q6ZWT7	ENSG00000143797.12
P0DOY3	ENSG00000211679.2
Q9NR80	ENSG00000136002.21
Q3LI63	ENSG00000244624.3
P78415	ENSG00000177508.12
P41231	ENSG00000175591.12
O60895	ENSG00000131477.11
Q9UF47	ENSG00000147570.10
P08294	ENSG00000109610.6
Q9Y5P8	ENSG00000167393.18
Q9Y5P8	ENSG00000292327.1
Q8IWZ6	ENSG00000138686.10
O14593	ENSG00000064490.14
Q0P6D6	ENSG00000149548.15
Q658P3	ENSG00000115107.20
A6NFN3	ENSG00000167281.20
P16104	ENSG00000188486.4
O95235	ENSG00000112984.12
A2A3K4	ENSG00000158079.16
Q8IWT1	ENSG00000177098.9
Q4U2R8	ENSG00000197901.12
O75143	ENSG00000175224.17
P07998	ENSG00000129538.14
Q7Z401	ENSG00000174485.16
Q9P0S3	ENSG00000128699.14
P40925	ENSG00000014641.21
Q8IYX3	ENSG00000161180.11
Q08AG7	ENSG00000204899.6
Q92915	ENSG00000102466.17
Q14254	ENSG00000132589.16
A8K979	ENSG00000196678.14
Q9UPV9	ENSG00000182606.17
O60296	ENSG00000115993.13
P52757	ENSG00000106069.26
Q9NZN4	ENSG00000024422.12
P16066	ENSG00000169418.10
Q9Y6I8	ENSG00000101417.12
O75452	ENSG00000139547.8
Q92561	ENSG00000168490.14
Q7RTM1	ENSG00000163982.6
Q99593	ENSG00000089225.20
O60312	ENSG00000206190.13
Q969J5	ENSG00000164485.15
Q96EK9	ENSG00000198841.4
Q96PX6	ENSG00000055813.6
Q96EX2	ENSG00000135119.15
Q8N587	ENSG00000171469.11
Q9BR76	ENSG00000172725.14
P00740	ENSG00000101981.12
Q96PE2	ENSG00000110237.5
O95299	ENSG00000130414.13
Q9UH17	ENSG00000179750.16
Q9P225	ENSG00000183914.15
Q9NXB9	ENSG00000197977.4
Q8ND56	ENSG00000257103.9
Q8ND56	ENSG00000262860.5
Q9Y468	ENSG00000185513.18
Q9BTV5	ENSG00000105255.11
Q96QR8	ENSG00000146676.10
Q9UKA4	ENSG00000023516.9
Q99963	ENSG00000140600.17
Q99963	ENSG00000291608.1
Q9Y483	ENSG00000143033.18
Q86WA8	ENSG00000102910.14
Q8NA77	ENSG00000182459.5
P22307	ENSG00000116171.19
Q15406	ENSG00000148200.17
O43169	ENSG00000103018.18
Q9NVE5	ENSG00000085982.16
Q86WH2	ENSG00000153179.14
Q9BZ72	ENSG00000090975.14
P0C0S8	ENSG00000196747.5
P0C0S8	ENSG00000196787.4
P0C0S8	ENSG00000278677.2
P0C0S8	ENSG00000276903.2
P0C0S8	ENSG00000275221.2
Q3ZCQ8	ENSG00000105197.11
P01111	ENSG00000213281.5
Q15113	ENSG00000106333.13
P46695	ENSG00000137331.12
P46695	ENSG00000206478.5
P46695	ENSG00000227231.3
P46695	ENSG00000235030.3
P46695	ENSG00000237155.3
P46695	ENSG00000230128.3
Q96A29	ENSG00000181830.9
P12235	ENSG00000151729.11
P01213	ENSG00000101327.9
Q6ZRV2	ENSG00000180921.7
Q6ZRV2	ENSG00000273889.2
P01876	ENSG00000211895.5
P01876	ENSG00000282633.1
Q8TEA8	ENSG00000125821.13
P51617	ENSG00000184216.15
Q9NR82	ENSG00000185760.18
O00287	ENSG00000133111.4
Q8N431	ENSG00000146090.16
