pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-K46386702,P04626,UWXSAYUXVSFDBQ-CYBMUJFWSA-N,2.0,True,,
BRD-K46386702,Q15303,UWXSAYUXVSFDBQ-CYBMUJFWSA-N,4.0,True,,
BRD-K46469693,P29274,AEULVFLPCJOBCE-UHFFFAOYSA-N,2.699333333333333,True,,
BRD-K46493214,P43166,CVHZOJJKTDOEJC-UHFFFAOYSA-N,10.0,True,,
BRD-K46654563,P12821,IAIDUHCBNLFXEF-MNEFBYGVSA-N,0.4,True,False,True
BRD-K46692793,P08172,FVTWTVQXNAJTQP-UHFFFAOYSA-N,0.120405002980232,True,,
BRD-K46692793,P11229,FVTWTVQXNAJTQP-UHFFFAOYSA-N,0.1990499982118605,True,,
BRD-K46692793,P20309,FVTWTVQXNAJTQP-UHFFFAOYSA-N,0.08847749966472387,True,,
BRD-K46742498,P46098,JSWZEAMFRNKZNL-UHFFFAOYSA-N,0.4540000036358832,True,True,False
BRD-K46918889,O15379,DZJZQNLBLZSWDQ-KGENOOAVSA-N,1.8,True,,
BRD-K46918889,Q13547,DZJZQNLBLZSWDQ-KGENOOAVSA-N,3.1,True,,
BRD-K47289124,P14416,KRVOJOCLBAAKSJ-RDTXWAMCSA-N,2.6,True,,
BRD-K47289124,P21917,KRVOJOCLBAAKSJ-RDTXWAMCSA-N,0.8049999999999999,True,,
BRD-K47289124,P35462,KRVOJOCLBAAKSJ-RDTXWAMCSA-N,1.18,True,,
BRD-K47335880,P43490,BOIPLTNGIAPDBY-UHFFFAOYSA-N,4.8,True,,
BRD-K47337578,P28223,FTJXZACAQRDRNT-UHFFFAOYSA-N,5.3,True,,
BRD-K47642186,P27815,RRRUXBQSQLKHEL-UHFFFAOYSA-N,2.0075,True,,
BRD-K47642186,Q07343,RRRUXBQSQLKHEL-UHFFFAOYSA-N,1.6469200000000002,True,,
BRD-K47642186,Q08493,RRRUXBQSQLKHEL-UHFFFAOYSA-N,2.5625,True,,
BRD-K47642186,Q08499,RRRUXBQSQLKHEL-UHFFFAOYSA-N,1.6440434782608697,True,,
BRD-K47659338,P50406,BPPGPYJBCVXILI-UHFFFAOYSA-N,7.4,True,,
BRD-K47761761,P21917,DNULYRGWTFLJQL-UHFFFAOYSA-N,9.492142857142856,True,,
BRD-K47929404,P51686,JRWROCIMSDXGOZ-UHFFFAOYSA-N,5.466666666666666,True,,
BRD-K47983010,O15530,VAVXGGRQQJZYBL-UHFFFAOYSA-N,6.0,True,,
BRD-K47983010,O60285,VAVXGGRQQJZYBL-UHFFFAOYSA-N,5.0,True,,
BRD-K48068743,P27487,WGRQANOPCQRCME-PMACEKPBSA-N,3.2625,True,False,True
BRD-K48195008,P03372,BFPYWIDHMRZLRN-SLHNCBLASA-N,3.4450000000000003,True,True,False
BRD-K48195008,Q92731,BFPYWIDHMRZLRN-SLHNCBLASA-N,8.715000000000002,True,True,False
BRD-K48617017,O43570,IAVUPMFITXYVAF-XPUUQOCRSA-N,3.473684210526316,True,False,True
BRD-K48617017,P43166,IAVUPMFITXYVAF-XPUUQOCRSA-N,3.5,True,False,True
BRD-K48722258,Q99808,QVZCXCJXTMIDME-UHFFFAOYSA-N,8.8,True,False,False
BRD-K48722833,P35348,XMXHEBAFVSFQEX-UHFFFAOYSA-N,0.31,True,False,False
BRD-K48735772,P00533,KFHMLBXBRCITHF-UHFFFAOYSA-N,7.004,True,,
BRD-K48812570,P25101,JGCMEBMXRHSZKX-UHFFFAOYSA-N,1.225,True,True,False
BRD-K48894757,Q13258,NXFFJDQHYLNEJK-CYBMUJFWSA-N,0.6425,True,,
BRD-K48935217,P04350,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,P07437,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,P0DPH7,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,P68363,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,P68366,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,P68371,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q13509,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q13885,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q3ZCM7,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q6PEY2,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q71U36,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q9BQE3,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q9BUF5,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q9BVA1,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48935217,Q9H4B7,QXRSDHAAWVKZLJ-PVYNADRNSA-N,3.5,True,,
BRD-K48970916,P04278,POZRVZJJTULAOH-LHZXLZLDSA-N,6.31,True,True,False
BRD-K49049886,P29274,MSJODEOZODDVGW-UHFFFAOYSA-N,2.5007777777777775,True,,
BRD-K49049886,P30542,MSJODEOZODDVGW-UHFFFAOYSA-N,4.133333333333334,True,,
BRD-K49061529,O00591,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,O14764,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,P14867,KOVRZNUMIKACTB-UHFFFAOYSA-N,1.702,True,,
BRD-K49061529,P18505,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,P18507,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.428,True,,
BRD-K49061529,P28472,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.428,True,,
BRD-K49061529,P34903,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.5280000000000005,True,,
BRD-K49061529,P47869,KOVRZNUMIKACTB-UHFFFAOYSA-N,4.928,True,,
BRD-K49061529,P47870,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,P78334,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,Q8N1C3,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,Q99928,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49061529,Q9UN88,KOVRZNUMIKACTB-UHFFFAOYSA-N,5.012,True,,
BRD-K49111258,P16083,IENZQIKPVFGBNW-UHFFFAOYSA-N,7.8,True,True,False
BRD-K49111258,P25100,IENZQIKPVFGBNW-UHFFFAOYSA-N,0.8676741379310344,True,True,False
BRD-K49111258,P28221,IENZQIKPVFGBNW-UHFFFAOYSA-N,0.33,True,True,False
BRD-K49111258,P35348,IENZQIKPVFGBNW-UHFFFAOYSA-N,0.8214694444444445,True,True,False
BRD-K49111258,P35368,IENZQIKPVFGBNW-UHFFFAOYSA-N,1.1373692307692307,True,True,False
BRD-K49236613,Q8NER1,AAORACFZMYMFCG-UHFFFAOYSA-N,10.0,True,,
BRD-K49294207,P00533,JUGSLZCFNSTKBN-UHFFFAOYSA-N,3.0,True,,
BRD-K49328571,P06239,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.9888888888888887,True,False,True
